内网收藏,#genre#

CCTV3 综 艺,http://192.168.10.1:8205/udp/238.1.78.170:7232
CCTV4 中文国际,http://192.168.10.1:8205/udp/238.1.78.236:7760
CCTV5 体 育,http://192.168.10.1:8205/udp/238.1.78.171:7240
CCTV5+ 体育赛事,http://192.168.10.1:8205/udp/238.1.78.237:7768
CCTV9 记 录,http://192.168.10.1:8205/udp/238.1.78.240:7792
CCTV10 科 教,http://192.168.10.1:8205/udp/238.1.78.241:7800
CCTV12 社会与法,http://192.168.10.1:8205/udp/238.1.78.242:7808
CCTV13 新 闻,http://192.168.10.1:8205/udp/238.1.79.35:4392
安徽卫视,http://192.168.10.1:8205/udp/238.1.79.27:4328
安徽卫视,http://192.168.10.1:8205/udp/238.1.78.150:7072
安徽综艺体育,http://192.168.10.1:8205/udp/238.1.79.41:4440
安徽综艺体育,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8
安徽公共,http://192.168.10.1:8205/udp/238.1.79.43:4456
辽宁卫视HD,http://192.168.10.1:8205/udp/238.1.78.21:6096

IPV6收藏,#genre#
CCTV-3 综 艺-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001186/index.m3u8
CCTV-3 综 艺-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3 综 艺-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3 综 艺-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.m3u8
CCTV-4 中文国际-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001221/index.m3u8
CCTV-4 中文国际-IPV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001290/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-4 中文国际-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228156/index.m3u8
CCTV-5 体 育-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001187/index.m3u8
CCTV-5 体 育-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5 体 育-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5 体 育-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/4/224/3221228502/index.m3u8
CCTV-5 体 育-IPV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001850/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5+ 体育赛事-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5+ 体育赛事-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+ 体育赛事-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228277/index.m3u8
CCTV-5+ 体育赛事-IPV6,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001334/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-5+ 体育赛事-IPV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001008/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-9 纪 录-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001237/index.m3u8
CCTV-9 纪 录-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225676/index.m3u8
CCTV-9 纪 录-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9 纪 录-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/1/224/3221228303/index.m3u8
CCTV-9 纪 录-IPV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001294/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-10 科 教-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001238/index.m3u8
CCTV-10 科 教-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10 科 教-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225677/index.m3u8
CCTV-10 科 教-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/1/224/3221228286/index.m3u8
CCTV-10 科 教-IPV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001288/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-12 社会与法-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001239/index.m3u8
CCTV-12 社会与法-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12 社会与法-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225669/index.m3u8
CCTV-12 社会与法-IPV6,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001289/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV-13 新 闻-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001328/index.m3u8
CCTV-13 新 闻-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225812/index.m3u8
CCTV-13 新 闻-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-13 新 闻-IPV6,http://[2409:8087:2001:20:2800:0:df6e:eb24]/ott.mobaibox.com/PLTV/1/224/3221228324/index.m3u8
安徽卫视-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001037/index.m3u8
安徽卫视-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
安徽卫视-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225925/index.m3u8
辽宁卫视-IPV6,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001035/index.m3u8

央视高清,#genre#

CCTV1 综 合,http://192.168.10.1:8205/udp/238.1.78.166:7200
CCTV2 财 经,http://192.168.10.1:8205/udp/238.1.78.235:7752
CCTV3 综 艺,http://192.168.10.1:8205/udp/238.1.78.170:7232
CCTV4 中文国际,http://192.168.10.1:8205/udp/238.1.78.236:7760
CCTV5 体 育,http://192.168.10.1:8205/udp/238.1.78.171:7240
CCTV5+ 体育赛事,http://192.168.10.1:8205/udp/238.1.78.237:7768
CCTV6 电 影,http://192.168.10.1:8205/udp/238.1.78.172:7248
CCTV7 国防军事,http://192.168.10.1:8205/udp/238.1.78.239:7784
CCTV8 电视剧,http://192.168.10.1:8205/udp/238.1.78.173:7256
CCTV9 记 录,http://192.168.10.1:8205/udp/238.1.78.240:7792
CCTV10 科 教,http://192.168.10.1:8205/udp/238.1.78.241:7800
CCTV11 戏 曲,http://192.168.10.1:8205/udp/238.1.78.206:7502
CCTV12 社会与法,http://192.168.10.1:8205/udp/238.1.78.242:7808
CCTV13 新 闻,http://192.168.10.1:8205/udp/238.1.79.35:4392
CCTV14 少 儿,http://192.168.10.1:8205/udp/238.1.78.243:7816
CCTV15 音 乐,http://192.168.10.1:8205/udp/238.1.78.222:7648
CGTN,http://192.168.10.1:8205/udp/238.1.78.50:6272
CCTV17 农业农村,http://192.168.10.1:8205/udp/238.1.78.178:7296
CCTV电视指南HD,http://192.168.10.1:8205/udp/238.1.79.53:4560
CCTV央视文化精品HD,http://192.168.10.1:8205/udp/238.1.79.54:4568
CCTV女性时尚HD,http://192.168.10.1:8205/udp/238.1.79.55:4576
CCTV兵器科技HD,http://192.168.10.1:8205/udp/238.1.79.56:4584
