内网收藏,#genre#

CCTV3 综艺-内网,http://192.168.10.1:8205/udp/238.1.78.170:7232
CCTV4 中文国际-内网,http://192.168.10.1:8205/udp/238.1.78.236:7760
CCTV5 体育-内网,http://192.168.10.1:8205/udp/238.1.78.171:7240
CCTV5+体育赛事-内网,http://192.168.10.1:8205/udp/238.1.78.237:7768
CCTV9 记录-内网,http://192.168.10.1:8205/udp/238.1.78.240:7792
CCTV10 科教-内网,http://192.168.10.1:8205/udp/238.1.78.241:7800
CCTV12 社会与法-内网,http://192.168.10.1:8205/udp/238.1.78.242:7808
CCTV13 新闻-内网,http://192.168.10.1:8205/udp/238.1.79.35:4392
安徽卫视-内网,http://192.168.10.1:8205/udp/238.1.79.27:4328
安徽卫视-内网,http://192.168.10.1:8205/udp/238.1.78.150:7072
辽宁卫视-内网,http://192.168.10.1:8205/udp/238.1.78.21:6096
安徽综艺体育-内网,http://192.168.10.1:8205/udp/238.1.79.41:4440
安徽综艺体育-内网,http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3/hls.m3u8#http://112.30.194.221:20080/live/c41f112b83f644ddb082669501c8ecd3.flv
安徽公共-内网,http://192.168.10.1:8205/udp/238.1.79.43:4456

IPV6收藏,#genre#

CCTV-3_综艺-IPV6,http://[2409:8087:1a01:df::4077]:80/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3_综艺-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225799/index.m3u8
CCTV-3_综艺-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3_综艺-IPV6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3_综艺-IPV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010212/1.m3u8

CCTV-4_中文国际-IPV6,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-4_中文国际-IPV6,http://[2409:8087:5e01:34::23]:6610/ZTE_CMS/00000001000000060000000000000485/index.m3u8?IAS
CCTV-4_中文国际-IPV6,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010017/1.m3u8

CCTV-5_体育-IPV6,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5_体育-IPV6,http://[2409:8087:1a01:df::4077]/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5_体育-IPV6,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
